Model Name,Price,CC,Mileage,Weight,Links
Bajaj Pulsar RS 200,"₹ 1,52,179",199.5 CC,35 Km/l,165 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-rs-200
Piaggio Vespa,"₹ 91,492",125.0 CC,45 Km/l,114 Kg,https://www.carandbike.com/piaggio-bikes/vespa
BMW R 1250 GS,"₹ 20,45,000",1254.0 CC,21 Km/l,249 Kg,https://www.carandbike.com/bmw-bikes/r-1250-gs
Suzuki Intruder,"₹ 1,26,500",154.9 CC,44 Km/l,152 Kg,https://www.carandbike.com/suzuki-bikes/intruder
KTM 125 Duke,"₹ 1,76,000",124.7 CC,34.5 Km/l,148 Kg,https://www.carandbike.com/ktm-bikes/125-duke
Honda Gold Wing,"₹ 39,71,822",1833.0 CC,14 Km/l,390 Kg,https://www.carandbike.com/honda-bikes/gold-wing
TVS Jupiter 125,"₹ 73,400",124.8 CC,50 Km/l,109 Kg,https://www.carandbike.com/tvs-bikes/jupiter-125
Suzuki Gixxer,"₹ 1,18,800",154.9 CC,64 Km/l,140 Kg,https://www.carandbike.com/suzuki-bikes/gixxer
Aprilia SR 150,"₹ 75,733",154.8 CC,40 Km/l,122 Kg,https://www.carandbike.com/aprilia-bikes/sr-150
Honda CB200X,"₹ 1,44,500",184.4 CC,N/A,147 Kg,https://www.carandbike.com/honda-bikes/cb200x
Husqvarna Svartpilen 250,"₹ 2,18,000",248.8 CC,35 Km/l,154 Kg,https://www.carandbike.com/husqvarna-bikes/svartpilen-250
TVS Scooty Zest 110,"₹ 59,925",109.7 CC,62 Km/l,97 Kg,https://www.carandbike.com/tvs-bikes/scooty-zest-110
Yamaha R15S V3.0,"₹ 1,58,939",155.0 CC,N/A,142 Kg,https://www.carandbike.com/yamaha-bikes/r15s-v30
Kawasaki Ninja 400,"₹ 4,99,000",399.0 CC,25 Km/l,173 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-400
Kawasaki Z900,"₹ 8,50,000",948.0 CC,15 Km/l,208 Kg,https://www.carandbike.com/kawasaki-bikes/z900
Kawasaki Ninja 1000,"₹ 11,51,000",1043.0 CC,17 Km/l,238 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-1000
Yamaha FZ V3.0 FI,"₹ 99,200",149.0 CC,45 Km/l,137 Kg,https://www.carandbike.com/yamaha-bikes/fz-v30-fi
Honda H Ness CB 350,"₹ 1,96,239",348.4 CC,42 Km/l,181 Kg,https://www.carandbike.com/honda-bikes/h-ness-cb-350
Indian Scout Bobber,"₹ 11,99,000",1133.0 CC,14 Km/l,245 Kg,https://www.carandbike.com/indian-bikes/scout-bobber
BMW R nine T,"₹ 18,50,000",1170.0 CC,22 Km/l,208 Kg,https://www.carandbike.com/bmw-bikes/r-nine-t
Yamaha Fazer 25,"₹ 1,44,180",249.0 CC,43 Km/l,154 Kg,https://www.carandbike.com/yamaha-bikes/fazer-25
Kawasaki Ninja H2,"₹ 34,99,000",998.0 CC,15 Km/l,238 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-h2
JAWA 42,"₹ 1,93,142",293.0 CC,37 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/42
Bajaj Dominar 400 [2019],"₹ 2,02,755",373.3 CC,27 Km/l,184 Kg,https://www.carandbike.com/bajaj-bikes/dominar-400-2019
Hero Electric NYX HX,"₹ 67,540",NA,165 Km/Full Charge,73 Kg,https://www.carandbike.com/hero-electric-bikes/nyx-hx
